COUNTRY	PROVINCE	COUNTY	Country_cd	Province_cd	Continent	Region	ACTIVE	PEOPLE_TESTED	CONFIRMED	PEOPLE_HOSPITALIZED	DEATHS	RECOVERED	INCIDENT_RATE	TESTING_RATE	HOSPITALIZATION_RATE	MORTALITY_RATE	LONG	LAT	LAST_REPORTED_FLAG
United States	Kentucky	Bell	US	KY	America	Americas	1	0	1	0	0	0	3.841425937	0	0	0	-83.67766671	36.73355174	FALSE
United States	Texas	Bell	US	TX	America	Americas	332	0	335	0	3	0	92.30582712	0	0	0	-97.4785025	31.03736027	FALSE
United States	Ohio	Belmont	US	OH	America	Americas	400	0	412	0	12	0	614.8703101	0	0	0	-80.9924051	40.01625942	FALSE
United States	Minnesota	Beltrami	US	MN	America	Americas	14	0	14	0	0	0	29.6685598	0	0	0	-94.93732139	47.97373527	FALSE
United States	Georgia	Ben Hill	US	GA	America	Americas	71	0	72	0	1	0	431.1377246	0	0	0	-83.22145359	31.76095874	FALSE
United States	Idaho	Benewah	US	ID	America	Americas	9	0	9	0	0	0	96.79500968	0	0	0	-116.6586851	47.21754179	FALSE
United States	Vermont	Bennington	US	VT	America	Americas	62	0	63	0	1	0	177.6148858	0	0	0	-73.09048868	43.03519828	FALSE
United States	North Dakota	Benson	US	ND	America	Americas	1	0	1	0	0	0	14.63700234	0	0	0	-99.35916363	48.0683985	FALSE
United States	Colorado	Bent	US	CO	America	Americas	2	0	2	0	0	0	35.86157432	0	0	0	-103.0720195	37.95474293	FALSE
United States	Arkansas	Benton	US	AR	America	Americas	428	0	428	0	0	0	153.3275298	0	0	0	-94.25680817	36.33644656	FALSE
United States	Indiana	Benton	US	IN	America	Americas	30	0	30	0	0	0	342.9355281	0	0	0	-87.31093999	40.60626947	FALSE
United States	Iowa	Benton	US	IA	America	Americas	39	0	40	0	1	0	155.9758237	0	0	0	-92.06463573	42.08011739	FALSE
United States	Minnesota	Benton	US	MN	America	Americas	172	0	175	0	3	0	427.9879674	0	0	0	-93.99514135	45.69804958	FALSE
United States	Mississippi	Benton	US	MS	America	Americas	15	0	15	0	0	0	181.6200509	0	0	0	-89.18945516	34.81681228	FALSE
United States	Missouri	Benton	US	MO	America	Americas	10	0	10	0	0	0	51.43239212	0	0	0	-93.28756116	38.29503305	FALSE
United States	Oregon	Benton	US	OR	America	Americas	50	0	55	0	5	0	59.10610082	0	0	0	-123.4316987	44.49167306	FALSE
United States	Tennessee	Benton	US	TN	America	Americas	6	0	7	0	1	0	43.31683168	0	0	0	-88.06849355	36.07110411	FALSE
United States	Washington	Benton	US	WA	America	Americas	681	0	742	0	61	0	363.0314595	0	0	0	-119.5120834	46.23946995	FALSE
United States	Michigan	Benzie	US	MI	America	Americas	4	0	4	0	0	0	22.51491613	0	0	0	-86.01608482	44.63899297	FALSE
United States	New Jersey	Bergen	US	NJ	America	Americas	16605	0	18158	0	1553	0	1947.861086	0	0	0	-74.07164325	40.96010917	FALSE
United States	South Carolina	Berkeley	US	SC	America	Americas	209	0	224	0	15	0	98.28570426	0	0	0	-79.94654523	33.20222596	FALSE
United States	West Virginia	Berkeley	US	WV	America	Americas	292	0	298	0	6	0	250.0608369	0	0	0	-78.02414609	39.46704621	FALSE
United States	Pennsylvania	Berks	US	PA	America	Americas	3677	0	3988	0	311	0	946.8995451	0	0	0	-75.92457766	40.41570541	FALSE
United States	Massachusetts	Berkshire	US	MA	America	Americas	499	0	539	0	40	0	431.3932642	0	0	0	-73.20524838	42.37428441	FALSE
United States	New Mexico	Bernalillo	US	NM	America	Americas	1364	0	1434	0	70	0	211.1553022	0	0	0	-106.6703554	35.05163625	FALSE
United States	Georgia	Berrien	US	GA	America	Americas	43	0	43	0	0	0	221.6837655	0	0	0	-83.2252992	31.27590016	FALSE
United States	Michigan	Berrien	US	MI	America	Americas	557	0	606	0	49	0	395.0430571	0	0	0	-86.4131308	41.95447397	FALSE
United States	North Carolina	Bertie	US	NC	America	Americas	115	0	119	0	4	0	628.067768	0	0	0	-76.96545943	36.0688473	FALSE
United States	Alaska	Bethel	US	AK	America	Americas	3	0	3	0	0	0	16.31676275	0	0	0	-159.8561831	60.90980451	FALSE
United States	Texas	Bexar	US	TX	America	Americas	2512	0	2583	0	71	0	128.9209075	0	0	0	-98.52019748	29.44928723	FALSE
United States	Alabama	Bibb	US	AL	America	Americas	70	0	71	0	1	0	317.0492096	0	0	0	-87.1251146	32.99642064	FALSE
United States	Georgia	Bibb	US	GA	America	Americas	419	0	444	0	25	0	289.8948152	0	0	0	-83.70489165	32.80904227	FALSE
United States	Louisiana	Bienville	US	LA	America	Americas	116	0	139	0	23	0	1049.769655	0	0	0	-93.05398492	32.34569994	FALSE
United States	Montana	Big Horn	US	MT	America	Americas	18	0	18	0	0	0	135.1452812	0	0	0	-107.492347	45.42335905	FALSE
United States	Wyoming	Big Horn	US	WY	America	Americas	5	0	5	0	0	0	42.40882104	0	0	0	-107.9960365	44.52405055	FALSE
United States	Minnesota	Big Stone	US	MN	America	Americas	4	0	4	0	0	0	80.14425967	0	0	0	-96.41403739	45.42712824	FALSE
United States	Idaho	Bingham	US	ID	America	Americas	6	0	6	0	0	0	12.81750016	0	0	0	-112.3978437	43.2167288	FALSE
United States	Iowa	Black Hawk	US	IA	America	Americas	1683	0	1727	0	44	0	1316.030116	0	0	0	-92.30524729	42.4704581	FALSE
